2018-02-19 22:43:05 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.addInterceptors(122) - Interceptor added urls: /* /**
2018-02-19 22:43:05 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.addFormatters(104) - Converter initialized, it converts string values[Roles] to UserProfiles
2018-02-19 22:43:06 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.configureDefaultServletHandling(110) - DefaultServletHandlerConfigurer inizialized
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(65) - InternalResourceViewResolver inizialized
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(70) - resolver setting prefix /WEB-INF/views/
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(72) - resolver setting suffix .jsp
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(75) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(82) - InternalResourceViewResolver for html inizialized
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(87) - resolver setting prefix /WEB-INF/views/
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(89) - resolver setting suffix .html
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(92) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.configure(173) - WebSecurityConfig$$EnhancerBySpringCGLIB$$d330a3f4::configure view permit
2018-02-19 22:43:07 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.configure(174) - WebSecurityConfig$$EnhancerBySpringCGLIB$$d330a3f4 initialized
2018-02-19 22:43:09 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.messageSource(74) - MessageSource initialized
2018-02-19 22:43:09 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.dataSource(142) - ***HIBERNATE*** - DB DataSource initialized - HIBERNATE -
2018-02-19 22:43:09 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.getSessionFactory(150) - ***HIBERNATE*** - LocalSessionFactoryBean initialized - HIBERNATE -
2018-02-19 22:43:09 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.getSessionFactory(152) - ***HIBERNATE*** - HibernateProperties initialized - HIBERNATE -
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.setApplicationContext(55) - InternalResourceViewResolver inizialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getAuthenticationTrustResolver(105) - AuthenticationTrustResolver  initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getSpitterDetailService(92) - SpitterDetailService  initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getAuthenticationProvider(214) - UserDetailsService initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.passwordEncoder(226) - BCryptPasswordEncoder  initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getAuthenticationProvider(216) - Password encriptinig
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.configureGlobalSecurity(203) - ConfigureGlobalSecurity user permit initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getTokenRepository(98) - HibernateTokenRepositoryImpl  initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getPersistentTokenBasedRememberMeServices(236) - PersistentTokenService  initialized
2018-02-19 22:43:10 [localhost-startStop-1] DEBUG com.mvc.spittr.web.SpittleController.<init>(55) - 2018-02-19T22:43:10.701 Constructor call
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.multipartResolver(92) - MultipartResolver initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.getTransactionManager(165) - ***HIBERNATE*** - HibernateTransactionManager initialized - HIBERNATE -
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.getSimpleMessage(184) - SimpleMailMessage initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.getJavaMailSender(207) - JavaMailMessage initialized
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.configure(173) - WebSecurityConfig$$EnhancerBySpringCGLIB$$d330a3f4::configure view permit
2018-02-19 22:43:10 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.configure(174) - WebSecurityConfig$$EnhancerBySpringCGLIB$$d330a3f4 initialized
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.addInterceptors(122) - Interceptor added urls: /* /**
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.addFormatters(104) - Converter initialized, it converts string values[Roles] to UserProfiles
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.configureDefaultServletHandling(110) - DefaultServletHandlerConfigurer inizialized
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(65) - InternalResourceViewResolver inizialized
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(70) - resolver setting prefix /WEB-INF/views/
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(72) - resolver setting suffix .jsp
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver(75) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(82) - InternalResourceViewResolver for html inizialized
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(87) - resolver setting prefix /WEB-INF/views/
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(89) - resolver setting suffix .html
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.viewResolver2(92) - org.springframework.web.servlet.view.JstlView.class set as view class
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.m.s.w.s.GenericServletDemoServlet.<clinit>(29) - ************************Start - GenericServletDemoServlet************************
2018-02-19 22:43:11 [localhost-startStop-1] INFO  c.m.s.w.s.GenericServletDemoServlet.<clinit>(47) - ************************End - GenericServletDemoServlet************************
2018-02-19 22:43:16 [http-nio-8080-exec-2] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:43:16.107 - called url:/Spring-In-Action_WEBApp/
2018-02-19 22:43:41 [http-nio-8080-exec-7] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:43:41.661 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:43:41 [http-nio-8080-exec-7] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:43:41 [http-nio-8080-exec-7] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:43:41 [http-nio-8080-exec-7] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:44:15 [http-nio-8080-exec-3] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:44:15.352 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:44:15 [http-nio-8080-exec-3] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:44:15 [http-nio-8080-exec-3] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:44:15 [http-nio-8080-exec-3] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:46:31 [http-nio-8080-exec-8] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:46:31.093 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:46:31 [http-nio-8080-exec-8] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
