2018-03-02 17:04:26 [http-nio-8080-exec-17] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-02T17:04:26.073 - called url:/Spring-In-Action_WEBApp/
2018-03-02 17:04:31 [http-nio-8080-exec-19] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-02T17:04:31.797 - called url:/Spring-In-Action_WEBApp/list
2018-03-02 17:04:31 [http-nio-8080-exec-19] INFO  com.mvc.spittr.web.LoginController.listUsers(119) - spitterService is null? false
2018-03-02 17:04:34 [http-nio-8080-exec-19] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(31) - Auth valaue: anonymous
2018-03-02 17:04:53 [http-nio-8080-exec-13] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-02T17:04:53.164 - called url:/Spring-In-Action_WEBApp/list
2018-03-02 17:04:53 [http-nio-8080-exec-13] INFO  com.mvc.spittr.web.LoginController.listUsers(119) - spitterService is null? false
2018-03-02 17:04:53 [http-nio-8080-exec-13] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(31) - Auth valaue: anonymous
2018-03-02 17:06:11 [http-nio-8080-exec-18] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-02T17:06:11.918 - called url:/Spring-In-Action_WEBApp/list
2018-03-02 17:06:11 [http-nio-8080-exec-18] INFO  com.mvc.spittr.web.LoginController.listUsers(119) - spitterService is null? false
2018-03-02 17:06:11 [http-nio-8080-exec-18] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(31) - Auth valaue: anonymous
2018-03-02 17:06:30 [http-nio-8080-exec-13] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-02T17:06:30.665 - called url:/Spring-In-Action_WEBApp/list
2018-03-02 17:06:30 [http-nio-8080-exec-13] INFO  com.mvc.spittr.web.LoginController.listUsers(119) - spitterService is null? false
2018-03-02 17:06:30 [http-nio-8080-exec-13] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(31) - Auth valaue: anonymous
2018-03-02 17:07:14 [http-nio-8080-exec-19] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-02T17:07:14.497 - called url:/Spring-In-Action_WEBApp/logout
