2018-03-04 15:33:59 [http-nio-8080-exec-18] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T15:33:59.273 - called url:/Spring-In-Action_WEBApp/
2018-03-04 15:34:05 [http-nio-8080-exec-22] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T15:34:05.467 - called url:/Spring-In-Action_WEBApp/login
2018-03-04 15:34:05 [http-nio-8080-exec-22] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(177) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-03-04 15:34:05 [http-nio-8080-exec-22] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(177) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-03-04 15:34:05 [http-nio-8080-exec-22] INFO  com.mvc.spittr.web.LoginController.loginPage(105) - Is Current Authentication Anonymous? true
2018-03-04 15:34:18 [http-nio-8080-exec-26] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T15:34:18.832 - called url:/Spring-In-Action_WEBApp/spitter
2018-03-04 15:34:18 [http-nio-8080-exec-26] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(28) - Auth valaue: admin
2018-03-04 15:34:24 [http-nio-8080-exec-19] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T15:34:24.110 - called url:/Spring-In-Action_WEBApp/logout
2018-03-04 15:34:24 [http-nio-8080-exec-19] INFO  com.mvc.spittr.web.LoginController.logoutPage(142) - Before Logout - authentication_org.springframework.security.authentication.UsernamePasswordAuthenticationToken@821a3ac0: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: ROLE_ADMIN,ROLE_DB,ROLE_USER; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@957e: RemoteIpAddress: 127.0.0.1; SessionId: 59DE3756B918E2E98CB048858C466D2C; Granted Authorities: ROLE_ADMIN, ROLE_DB, ROLE_USER 
2018-03-04 15:34:24 [http-nio-8080-exec-19] INFO  com.mvc.spittr.web.LoginController.logoutPage(148) - After Logout authentication_org.springframework.security.authentication.UsernamePasswordAuthenticationToken@821a3ac0: Principal: org.springframework.security.core.userdetails.User@586034f: Username: admin; Password: [PROTECTED]; Enabled: true; AccountNonExpired: true; credentialsNonExpired: true; AccountNonLocked: true; Granted Authorities: ROLE_ADMIN,ROLE_DB,ROLE_USER; Credentials: [PROTECTED]; Authenticated: true; Details: org.springframework.security.web.authentication.WebAuthenticationDetails@957e: RemoteIpAddress: 127.0.0.1; SessionId: 59DE3756B918E2E98CB048858C466D2C; Granted Authorities: ROLE_ADMIN, ROLE_DB, ROLE_USER 
2018-03-04 15:34:24 [http-nio-8080-exec-21] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T15:34:24.148 - called url:/Spring-In-Action_WEBApp/
2018-03-04 15:34:25 [http-nio-8080-exec-18] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T15:34:25.955 - called url:/Spring-In-Action_WEBApp/login
2018-03-04 15:34:25 [http-nio-8080-exec-18] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(177) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-03-04 15:34:25 [http-nio-8080-exec-18] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(177) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-03-04 15:34:25 [http-nio-8080-exec-18] INFO  com.mvc.spittr.web.LoginController.loginPage(105) - Is Current Authentication Anonymous? true
